IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP48;IP_PROP49;IP_PROP56;IP_PROP57;IP_PROP84;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
1581;LS485;Рукоятка для зеркал полая;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1582;485;Рукоятка для зеркал полая, граненая;Нержавеющая сталь;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1583;485CH;Рукоятка для зеркал хромированная;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1584;LS484;Рукоятка для зеркал. Конусовидная втулка, американская резьба;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1585;484;Рукоятка для зеркал. Конусовидная втулка, американская резьба;Нержавеющая сталь.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1586;LS483;Рукоятка для зеркал. Европейская резьба M2,5;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1587;483;Рукоятка для зеркал монолитная;Нержавеющая сталь.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1588;LS482;Рукоятка для зеркал. Конусовидная втулка, американская резьба;Дизайн LiquidSteel.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1589;481/5;Зеркало вогнутое (увеличение);Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1590;481/4;Зеркало вогнутое (увеличение);Диаметр: 22 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1591;480/5CS;Зеркало плоское. Американская резьба с конусовидной муфтой;Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1592;480/5;Зеркало плоское;Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1593;480/4;Зеркало плоское;Диаметр: 22 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1594;480/3;Зеркало плоское;Диаметр: 20 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1595;479/5;Зеркало вогнутое (увеличение) с родиумной лицевой поверхностью;Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1596;479/4;Зеркало вогнутое (увеличение) с родиумной лицевой поверхностью;Диаметр: 22 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1597;478/5CS;Зеркало плоское с родиумной лицевой поверхностью. Американская резьба с конусовидной муфтой;Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1598;478/5;Зеркало плоское с родиумной лицевой поверхностью;Диаметр: 24 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1599;478/4;Зеркало плоское с родиумной лицевой поверхностью;Диаметр: 22 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1600;478/3;Зеркало плоское с родиумной лицевой поверхностью;Диаметр: 20 мм.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1601;477/1;Микро-металлическое зеркало;Диаметр 3,5 мм., полировка высокого глянца, для обзора апикальной позиции без искажений при резекции верхушки корня.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1602;476;Рукоятка для зеркал монолитная;Нержавеющая сталь.;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1603;471/4 OneSide;"широкая, округлая рукоятка позволяет аккуратно удерживать щеку
· РОДИУМНОЕ покрытие гарантирует идеальное, резкое, высоко-контрастное отражение без искажений
· изготовленное из монолитного блока зеркало не имеет неровностей (как это бывает при паяном соединеии у
обычных зеркал) и более стабильно материал не содержит никель
· шелковистая матовая поверхность устраняет неприятную рефлексию
· резьба пригодна для любой рукоятки со стандартной резьбой (европейская резьба M2.5)
· дизайн защищен международным патентом (GGM)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1604;470/4 TwinSide;"Одно зеркало с двойным удобством:
· широкая, округлая рукоятка позволяет аккуратно удерживать щеку, обеспечивая прекрасный обзор с другой
стороны – особенно при цервикальных дефектах (передняя поверхность)
· РОДИУМНОЕ покрытие гарантирует идеальное, резкое, высоко-контрастное отражение без искажений
· изготовленное из монолитного блока зеркало не имеет неровностей (как это бывает при паяном соединеии у
обычных зеркал) и более стабильно
· шелковистая матовая поверхность устраняет неприятную рефлексию
· резьба пригодна для любой рукоятки зеркала со стандартной резьбой (европейская резьба M2.5)
· дизайн защищен международным патентом (GGM)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1605;466/9;"очень тонкие РОДИУМНЫЕ зеркала округлой и прямоугольной формы
· толщина 0.8mm, высококачественное РОДИУМНОЕ зеркало в орпаве из нержавеющей стали
· идеальны при пародонтальном, эндодонтическом лечении, резекции верхушки корня, для имплантологии, и т.д.
· тонкое стекло абсолютно не искажает, изображение намного лучше, чем у полированных металлических зеркал
· резьба подходит для всех рукояток со стандартной резьбой (европейская резьба M2.5)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1606;466/7;"очень тонкие РОДИУМНЫЕ зеркала округлой и прямоугольной формы
· толщина 0.8mm, высококачественное РОДИУМНОЕ зеркало в орпаве из нержавеющей стали
· идеальны при пародонтальном, эндодонтическом лечении, резекции верхушки корня, для имплантологии, и т.д.
· тонкое стекло абсолютно не искажает, изображение намного лучше, чем у полированных металлических зеркал
· резьба подходит для всех рукояток со стандартной резьбой (европейская резьба M2.5)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1607;465/5;"очень тонкие РОДИУМНЫЕ зеркала округлой и прямоугольной формы
· толщина 0.8mm, высококачественное РОДИУМНОЕ зеркало в орпаве из нержавеющей стали
· идеальны при пародонтальном, эндодонтическом лечении, резекции верхушки корня, для имплантологии, и т.д.
· тонкое стекло абсолютно не искажает, изображение намного лучше, чем у полированных металлических зеркал
· резьба подходит для всех рукояток со стандартной резьбой (европейская резьба M2.5)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1608;465/3;"очень тонкие РОДИУМНЫЕ зеркала округлой и прямоугольной формы
· толщина 0.8mm, высококачественное РОДИУМНОЕ зеркало в орпаве из нержавеющей стали
· идеальны при пародонтальном, эндодонтическом лечении, резекции верхушки корня, для имплантологии, и т.д.
· тонкое стекло абсолютно не искажает, изображение намного лучше, чем у полированных металлических зеркал
· резьба подходит для всех рукояток со стандартной резьбой (европейская резьба M2.5)";;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1609;1203;Держатель рукоятки для фото-зеркал;"Подходит для всех фото-зеркал Carl Martin.
Описание: силиконовое покрытие обеспечивает надежное удерживание.
Головка зеркала регулируется под любой угол обзора.";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1610;1078/CP12;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1611;1078/9;Зонд;"Насадки зондов с резьбой,
подходят для резьбы М2,5
Рекомендуется завинчивать насадки зондов в рукоятки с помощью плоских щипцов.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1612;1078/6;Зонд;"Насадки зондов с резьбой,
подходят для резьбы М2,5
Рекомендуется завинчивать насадки зондов в рукоятки с помощью плоских щипцов.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1613;1078/23;Зонд;"Насадки зондов с резьбой,
подходят для резьбы М2,5
Рекомендуется завинчивать насадки зондов в рукоятки с помощью плоских щипцов.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1614;1078/17;Зонд;Линзообразные для конденсации в поднутрениях;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1615;LS973/CP15;Зонд;Дизайн LiquidSteel;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1616;LS973/CP12-CO;Зонд;Дизайн LiquidSteel;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1617;LS973/80;Зонд Who;"3.5-5.5-8.5-11.5
Дизайн LiquidSteel";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1618;973/23W;Зонд Williams;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1619;LS1084/EXD5;Зонд LiquidSteel;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1620;973/KAL;Физио-зонд с прессованой калибровкой;"С помощью калиброванного под 
давлением автоклавируемого зонда 
показатели пародонта более точные, 
репродуцируемые и надежные.
Соответствует стандартам WHO и FDI.
Сила измерения 20 гр.: значения 
зондирования указываются надежно 
и достоверно.
Полукруглый кончик зонда (для 
выявления особенностей анатомии 
зуба; для уменьшения/исключения 
травм при замерах; для 
минимизации боли при 
зондировании).
Кончик зонда вывинчивается и 
подходит для рукоятки любого 
зеркала с резьбой М2,5 мм.
Стерилизуется в автоклаве.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1621;973/CP2N;Зонд Nabers;"Фуркационный 
зонд с цветовой 
кодировкой.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1622;973/CP15;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1623;973/CP12B;Зонд с шариком;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1624;973/CP12;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1625;973/CP11;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1626;973/80;Зонд WHO;"Рекомендуется для определения 
индекса периодонта (PSI).";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1627;973/72W;Зонд Williams;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1628;973/14W;Зонд Williams;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1629;1084/EXD9-23;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1630;1084/EXD5;Зонд Ergoform;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1631;1084/EXD17-23;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1632;1084/EXD11-12;Зонд;"Для чувствительного прощупывания поверхностей 
зуба до и после поддесневого кюретажа.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1633;1078/80;Насадка пародонтального зонда;"WHO + CP12, с резьбой, подходит к 
рукоятке для зеркала с резьбой М2,5.";;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1634;976;Зонд Hauer;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1635;975;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1636;974;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Пародонтология;;;;;;
1637;1204;Насадка для эндодонтических инструментов;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1638;1131;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1639;1087/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1640;1087/23;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1641;1087/17;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1642;1086/9;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1643;1086/8;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1644;1086/7;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1645;1086/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1646;1086/5;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1647;1086/12;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1648;1086/11;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1649;1086/10;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1650;1085/9;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1651;1085/8;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1652;1085/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1653;1085/2;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1654;1085/19;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1655;1085/18;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1656;1085/15;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1657;1085/14;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1658;1085/11;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1659;1085/10;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1660;LS1083/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1661;1083/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1662;1082/9;Зонд;"Очень тонкие кончики из стали
специальной закалки
· высокая чувствительность при ощупывании
мельчайших кариозных точек
· эргономичная округлая рукоятка";;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1663;1082/6;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1664;1082/23;Зонд;"Очень тонкие кончики из стали
специальной закалки
· высокая чувствительность при ощупывании
мельчайших кариозных точек
· эргономичная округлая рукоятка";;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1665;1082/17;Зонд;"Очень тонкие кончики из стали
специальной закалки
· высокая чувствительность при ощупывании
мельчайших кариозных точек
· эргономичная округлая рукоятка";;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1666;LS1081/70;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1667;1081/70;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1668;1081/66;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1669;1081/65;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1670;1081/56;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1671;1081/39;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1672;LS1081/33;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1673;1081/33;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1674;1081/33 LSCO-WE;Зонд (белый);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1675;1081/33 LSCO-SC;Зонд (чёрный);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1676;1081/33 LSCO-RO;Зонд (красный);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1677;1081/33 LSCO-MA;Зонд (пурпурный);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1678;1081/33 LSCO-GR;Зонд (зелёный);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1679;1081/33 LSCO-GE;Зонд (жёлтый);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1680;1081/33 LSCO-BL;Зонд (синий);;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1681;1081/32;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1682;1081/30;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1683;1081/26;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1684;1080/9;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1685;1080/23;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1686;1080/17;Зонд;;;CARL-MARTIN SOLINGEN;Германия;Терапия;;;;;;
1687;1887/3;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1688;1887/2;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1689;1887/1;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1690;1171DI/18;Иглодержатель;"МИКРО-иглодержатель
· очень тонкий с алмазным напылением для прочного удерживания
и ведения даже самых маленьких игл (напр., размера до 8/0)
· за счет напыления значительно увеличивается срок эксплуатации
· маркировка: позолоченная пружина";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1691;1171/18;Иглодержатель;"МИКРО-иглодержатель
· инструмент для захвата и ведения нити, с гладкими щечками, за
счет этого нить не повреждается
· маркировка: чернёная пружина";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1692;1170TC/18;Иглодержатель;"МИКРО-иглодержатели
· очень тонкие для МИКРО- и
ПАРО-хирургии
· с округлой рукояткой - эргономичная
работа
· твердосплавные прокладки";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1693;1170TC/13;Иглодержатель;"МИКРО-иглодержатели
· очень тонкие для МИКРО- и
ПАРО-хирургии
· с округлой рукояткой - эргономичная
работа
· твердосплавные прокладки";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1694;1169RH/18;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1695;1169RH/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1696;1169 TC/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1697;1168TC/17;Иглодержатель с ножницами;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1698;1167TC/15;Иглодержатель с ножницами;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1699;1163TC/17;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1700;1163TC/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1701;1161TC/17;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1702;1161TC/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1703;1160/17;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1704;1160/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1705;1158TC/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1706;1158RH/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1707;1157TC/20;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1708;1156RH/16;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1709;1156/18;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1710;1156/16;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1711;1155TC/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1712;1155RH/18;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1713;1155RH/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1714;1155/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1715;1151/12;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1716;1150TC/14;Иглодержатель с ножницами;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1717;1150/14;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1718;1149TC/17;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1719;1149 ATC/17;Иглодержатель;"Особенно удобен для работы в
ретромолярных зонах";;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1720;1147RH/15;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1721;1164;Иглодержатель;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1722;LS1170RH/18;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
1723;LS1170RH/16;;;;CARL-MARTIN SOLINGEN;Германия;Хирургия;;;;;;
